company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
Sysco,199,-20.0,52893.3,-12,215.5,-87.1,22628.3,57000,Wholesalers: Food and Grocery,Wholesalers,U.S.,Houston,Texas,no,,no,yes,27,179.0,,Kevin P. Hourican,https://www.sysco.com,SYY,36813
HBIS Group,200,18.0,52760.7,2.8,5.7,,74410.7,121247,Metals,Materials,China,Shijiazhuang,,no,,no,yes,13,218.0,,Yu Yong,https://www.hbisco.com,,
Shanghai Pudong Development Bank,201,19.0,52628.3,2.6,8443.6,-0.7,1219640.9,61686,Banks: Commercial and Savings,Financials,China,Shanghai,,no,,no,yes,9,220.0,,Zheng Yang,https://www.spdb.com.cn,,43729
JBS,202,11.0,52429.0,1.1,892.2,-42,31538.6,250000,Food Production,"Food, Beverages & Tobacco",Brazil,Sao Paulo,,no,,no,yes,12,213.0,,Gilberto Tomazoni,https://jbs.com.br,JBSAY,14804
Société Générale,203,-11.0,52068.3,-8.4,-294.0,-108.1,1789136.9,126391,Banks: Commercial and Savings,Financials,France,Paris,,no,,no,no,25,192.0,,Frédéric Oudéa,https://www.societegenerale.com,SCGLY,24122
Morgan Stanley,204,-1.0,52047.0,-3.3,10996.0,21.6,1115862,68097,Banks: Commercial and Savings,Financials,U.S.,New York,New York City,no,,no,yes,24,203.0,,James P. Gorman,https://www.morganstanley.com,MS,175180
State Bank of India,205,16.0,51919.4,,3018.9,8.3,662540,245652,Banks: Commercial and Savings,Financials,India,Mumbai,,no,,no,yes,16,221.0,,Dinesh Kumar Khara,https://www.sbi.co.in,SBKFF,50591
PTT,206,-66.0,51647.5,-27.8,1207.2,-59.7,84834.4,29421,Petroleum Refining,Energy,Thailand,Bangkok,,no,,no,yes,18,140.0,,Auttapol Rerkpiboon,https://www.pttplc.com,PCHUY,31484
HCA Healthcare,207,12.0,51533.0,0.4,3754.0,7.1,47490,235000,Health Care: Medical Facilities,Health Care,U.S.,Nashville,Tennessee,no,,no,yes,27,219.0,,Samuel N. Hazen,https://www.hcahealthcare.com,HCA,74002
Tokio Marine Holdings,208,18.0,51516.7,2.5,1526.3,-36.1,232959.9,43257,Insurance: Property and Casualty (Stock),Financials,Japan,Tokyo,,no,,no,yes,27,226.0,,Satoru Komiya,https://www.tokiomarinehd.com,TKOMY,33007
Vodafone Group,209,19.0,51054.5,2.2,130.5,,182044,96506,Telecommunications,Telecommunications,Britain,Newbury,,no,,no,yes,22,228.0,,Nick Read,https://www.vodafone.com,VOD,43163
Christian Dior,210,-30.0,50877.6,-15.3,2202.6,-33,129743.6,139409,Apparel,Apparel,France,Paris,,no,,no,yes,21,180.0,,Sidney Toledano,https://www.dior-finance.com,CHDRY,144491
Wilmar International,211,74.0,50526.8,18.5,1534.1,18.6,51020,100000,Food Production,"Food, Beverages & Tobacco",Singapore,Singapore,,no,,no,yes,13,285.0,,Kuok Khoon Hong,https://www.wilmar-international.com,WLMIY,20367
Indian Oil,212,-61.0,50433.0,-27.2,2915.5,,48527.5,33439,Petroleum Refining,Energy,India,New Delhi,,no,,no,yes,27,151.0,,Shrikant Madhav Vaidya,https://www.iocl.com,,13492
AIA Group,213,37.0,50359.0,6.6,5779.0,-13.1,326121,23397,"Insurance: Life, Health (stock)",Financials,China,Hong Kong,,no,,no,yes,7,250.0,,Lee Yuan Siong,https://www.aia.com,AAGIY,149443
Vinci,214,-19.0,50270.2,-8.2,1415.2,-61.2,111567.7,217731,Engineering & Construction,Engineering & Construction,France,Rueil-Malmaison,,no,,no,yes,21,195.0,,Xavier Huillard,https://www.vinci.com,VCISY,62153
Kia,215,14.0,50155.1,0.5,1261.0,-19.6,55653.6,51899,Motor Vehicles & Parts,Motor Vehicles & Parts,South Korea,Seoul,,no,,no,yes,10,229.0,,Ho-Sung Song/Jun-Young Choi,https://www.kia.com,,30793
ENI,216,-103.0,50121.0,-37,-9839.1,-6039.7,134187.2,31495,Petroleum Refining,Energy,Italy,Rome,,no,,no,no,27,113.0,,Claudio Descalzi,https://www.eni.com,E,40903
KDDI,217,24.0,50115.0,4,6145.7,4.4,95256.1,47320,Telecommunications,Telecommunications,Japan,Tokyo,,no,,no,yes,24,241.0,,Makoto Takahashi,https://www.kddi.com,KDDIY,72064
Novartis,218,7.0,49898.0,-1.2,8072.0,-31.2,132059,105794,Pharmaceuticals,Health Care,Switzerland,Basel,,no,,no,yes,27,225.0,,Vasant Narasimhan,https://www.novartis.com,NVS,213292
Renault,219,-44.0,49536.4,-20.3,-9124.7,,141638.9,170158,Motor Vehicles & Parts,Motor Vehicles & Parts,France,Boulogne-Billancourt,,no,,no,no,27,175.0,,Luca De Meo,https://group.renault.com,RNLSY,10754
Shaanxi Coal & Chemical Industry,220,53.0,49314.3,12.6,120.8,1.1,91350.2,126707,"Mining, Crude-Oil Production",Energy,China,Xi'an,,no,,no,yes,7,273.0,,Yang Zhaoqian,https://www.shccig.com,,
Cisco Systems,221,-10.0,49301.0,-5,11214.0,-3.5,94853,77500,Network and Other Communications Equipment,Technology,U.S.,San Jose,California,no,,no,yes,22,211.0,,Charles H. Robbins,https://www.cisco.com,CSCO,228355
Korea Electric Power,222,5.0,49102.0,-2.3,1688.0,,186898.8,48519,Utilities,Energy,South Korea,"Naju, Jeollanam-do",,no,,no,yes,27,227.0,,Jong-Kap Kim,https://www.kepco.co.kr,KEP,14033
Telefónica,223,-22.0,49082.9,-9.4,1802.6,41,128561.4,112797,Telecommunications,Telecommunications,Spain,Madrid,,no,,no,yes,27,201.0,,José María Álvarez-Pallete López,https://www.telefonica.com,TEF,26251
China Minsheng Banking,224,15.0,49076.0,1.1,4972.3,-36.2,1065169.8,59262,Banks: Commercial and Savings,Financials,China,Beijing,,no,,no,yes,9,239.0,,Gao Yingxin,https://www.cmbc.com.cn,CMAKY,26874
Jiangxi Copper,225,118.0,48820.1,32,194.7,14.9,25944.9,24528,Metals,Materials,China,Guixi,,no,,no,yes,9,343.0,,Zheng Gaoqing,https://www.jxcc.com,,
POSCO,226,-32.0,48712.8,-12.4,1340.3,-16.2,73312.1,35393,Metals,Materials,South Korea,Seoul,,no,,no,yes,27,194.0,,Jeong-Woo Choi,https://www.posco.com,PKX,26219
Bayer,227,-13.0,48483.6,-6.4,-11958.5,-361.2,143240.9,99538,Pharmaceuticals,Health Care,Germany,Leverkusen,,no,,no,no,27,214.0,,Werner Baumann,https://www.bayer.com,BAYRY,59168
Power Corp. of Canada,228,118.0,48183.1,30.9,1525.7,74.5,493996.1,30000,"Insurance: Life, Health (stock)",Financials,Canada,"Montreal, Quebec",,no,,no,yes,23,346.0,,R. Jeffrey Orr,https://www.powercorporation.com,PWCDF,21089
Orange,229,20.0,48164.5,1.9,5494.4,63.3,131843.6,142150,Telecommunications,Telecommunications,France,Paris,,no,,no,yes,27,249.0,,Stéphane Richard,https://www.orange.com,ORAN,29607
Charter Communications,230,28.0,48097.0,5.1,3222.0,93.2,144206,96100,Telecommunications,Telecommunications,U.S.,Stamford,Connecticut,no,,no,yes,5,258.0,,Thomas M. Rutledge,https://www.charter.com,CHTR,153615
COSCO Shipping,231,33.0,47998.3,7.5,1471.2,35.4,130251.3,110338,Shipping,Transportation,China,Shanghai,,no,,no,yes,14,264.0,,Xu Lirong,https://www.coscoshipping.com,,
Merck,232,24.0,47994.0,2.5,7067.0,-28.2,91588,73500,Pharmaceuticals,Health Care,U.S.,Kenilworth,New Jersey,no,,no,yes,27,256.0,,Robert M. Davis,https://www.merck.com,MRK,202025
ELO Group,233,-37.0,47607.3,-12.9,772.5,,28282,160606,Food & Drug Stores,Food & Drug Stores,France,Croix,,no,,no,yes,25,196.0,,Barthélémy Guislain,https://www.groupe-elo.com,,
Shaanxi Yanchang Petroleum (Group),234,31.0,47529.1,6.7,160.7,-25.3,68054.2,131093,"Mining, Crude-Oil Production",Energy,China,Xi'an,,no,,no,yes,9,265.0,,Lan Jianwen,https://www.sxycpc.com,,
Pegatron,235,34.0,47517.9,7.5,686.2,9.8,24370.5,169083,"Electronics, Electrical Equip.",Technology,Taiwan,Taipei,,no,,no,yes,9,269.0,,Syh-Jang Liao,https://www.pegatroncorp.com,,6377
Anheuser-Busch InBev,236,-31.0,47358.0,-11.8,1405.0,-84.7,226410,163695,Beverages,"Food, Beverages & Tobacco",Belgium,Leuven,,no,,no,yes,16,205.0,,Michel Doukeris,https://www.ab-inbev.com,BUD,133201
América Móvil,237,-28.0,47326.0,-9.6,2180.5,-38,81591,186851,Telecommunications,Telecommunications,Mexico,Mexico City,,no,,no,yes,15,209.0,,Daniel Hajj Aboumrad,https://www.americamovil.com,AMX,62462
Best Buy,238,37.0,47262.0,8.3,1798.0,16.7,19067,81600,Specialty Retailers,Retailing,U.S.,Richfield,Minnesota,no,,yes,yes,23,275.0,,Corie S. Barry,https://investors.bestbuy.com/investor-relations/overview/default.aspx,BBY,23202
Zhejiang Geely Holding Group,239,4.0,47191.0,-1.5,1352.3,9.8,74391.4,125764,Motor Vehicles & Parts,Motor Vehicles & Parts,China,Hangzhou,,no,,no,yes,10,243.0,,Li Donghui,https://www.geely.com,,
China State Shipbuilding,240,0.0,46844.6,-15.5,1874.6,56.7,132019.3,218956,Shipping,Transportation,China,Beijing,,yes,,no,yes,1,240.0, ,Lei Fanpei,https://www.cssc.net.cn,,
Talanx,241,30.0,46788.1,6.3,766.8,-25.8,221553.1,23527,Insurance: Property and Casualty (Stock),Financials,Germany,Hanover,,no,,no,yes,8,271.0,,Torsten Leue,https://www.talanx.com,TLLXY,10556
New York Life Insurance,242,28.0,46712.4,5.9,-822.3,-181.9,359312.5,11506,"Insurance: Life, Health (Mutual)",Financials,U.S.,New York,New York City,no,,no,no,27,270.0,,Craig DeSanto,https://www.newyorklife.com,,-
Oil & Natural Gas,243,-53.0,46597.1,-18.5,2189.3,42.3,74280.4,30105,"Mining, Crude-Oil Production",Energy,India,New Delhi,,no,,no,yes,15,190.0,,Subhash Kumar,https://www.ongcindia.com,,19516
Denso,244,3.0,46569.3,-1.8,1179.7,88.3,61190.6,168391,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Kariya,,no,,no,yes,27,247.0,,Koji Arima,https://www.denso.com/global,DNZOY,51658
MS&AD Insurance Group Holdings,245,1.0,46149.7,-2.9,1362.1,3.5,218287.2,41501,Insurance: Property and Casualty (Stock),Financials,Japan,Tokyo,,no,,no,yes,23,246.0,,Noriyuki Hara,https://www.ms-ad-hd.com,MSADY,17921
Equinor,246,-77.0,45818.0,-28.8,-5510.0,-399,121972,21245,Petroleum Refining,Energy,Norway,Stavanger,,no,,no,no,27,169.0,,Anders Opedal,https://www.equinor.com,EQNR,63726
AbbVie,247,131.0,45804.0,37.7,4616.0,-41.4,150565,47000,Pharmaceuticals,Health Care,U.S.,North Chicago,Illinois,no,,no,yes,6,378.0,,Richard A Gonzalez.,https://www.abbvie.com,ABBV,284955
China Huaneng Group,248,18.0,45750.4,2.8,312.4,67.5,181995.3,128560,Energy,Energy,China,Beijing,,no,,no,yes,13,266.0,,Shu Yinbiao,https://www.chng.com.cn,,
Nippon Steel Corporation,249,-51.0,45555.7,-16.4,-305.9,,68480.5,115632,Metals,Materials,Japan,Tokyo,,no,,no,no,27,198.0,,Eiji Hashimoto,https://www.nipponsteel.com,NPSCY,15926
Royal Bank of Canada,250,-27.0,45508.8,-10.5,8496.9,-12.2,1218350.1,83842,Banks: Commercial and Savings,Financials,Canada,"Toronto, Ontario",,no,,no,yes,27,223.0,,David I. McKay,https://www.rbc.com,RY,164237
Taiwan Semiconductor,251,111.0,45477.8,31.4,17343.6,51.4,98308.5,56831,Semiconductors and Other Electronic Components,Technology,Taiwan,Hsinchu,,no,,no,yes,7,362.0,,C.C. Wei,https://www.tsmc.com,TSM,600006
Deutsche Bahn,252,-20.0,45465.2,-8.6,-6476.6,-967.5,80079.4,322768,Railroads,Transportation,Germany,Berlin,,no,,no,no,27,232.0,,Richard Lutz,https://www.deutschebahn.com,,
Publix Super Markets,253,72.0,45204.0,17.5,3971.8,32.2,28094.1,227000,Food & Drug Stores,Food & Drug Stores,U.S.,Lakeland,Florida,no,,no,yes,27,325.0,,Randall T. Jones Sr.,https://www.publix.com,,-
Allstate,254,9.0,44791.0,0.3,5576.0,15,125987,42010,Insurance: Property and Casualty (Stock),Financials,U.S.,Northbrook,Illinois,no,,no,yes,26,263.0,,Thomas J. Wilson,https://www.allstate.com,ALL,34232
Zhejiang Rongsheng Holding Group,255,0.0,44725.9,50.3,626.5,254.9,40749.4,20493,Chemicals,Chemicals,China,Hangzhou,,yes,,no,yes,1,255.0, ,Li Shuirong,https://www.rong-sheng.com,,
Rio Tinto,256,24.0,44611.0,3.3,9769.0,22,97390,47474,"Mining, Crude-Oil Production",Energy,Britain,London,,no,,no,yes,16,280.0,,Jakob Stausholm,https://www.riotinto.com,RIO,121356
Pemex,257,-124.0,44383.6,-39.1,-23683.3,,96826.2,123899,"Mining, Crude-Oil Production",Energy,Mexico,Mexico City,,no,,no,no,27,133.0,,Octavio Romero Oropeza,https://www.pemex.com,,
Accenture,258,21.0,44327.0,2.6,5107.8,6.9,37078.6,506000,Information Technology Services,Technology,Ireland,Dublin,,no,,yes,yes,20,279.0,,Julie T. Sweet,https://www.accenture.com,ACN,207572
Edeka Zentrale,259,53.0,44158.6,10.9,315.4,-17.2,10567.4,402000,Wholesalers: Food and Grocery,Wholesalers,Germany,Hamburg,,no,,no,yes,23,312.0,,Markus Mosa,https://www.verbund.edeka,,
China United Network Communications,260,30.0,44034.4,4.7,800.2,11,89268.3,242121,Telecommunications,Telecommunications,China,Beijing,,no,,no,yes,13,290.0,,Wang Xiaochu,https://www.chinaunicom-a.com,,20417
Sumitomo,261,-23.0,43817.9,-10.1,-1443.9,-191.6,73055.9,74920,Trading,Wholesalers,Japan,Tokyo,,no,,no,no,27,238.0,,Masayuki Hyodo,https://www.sumitomocorp.com,SSUMY,16561
Liberty Mutual Insurance Group,262,16.0,43796.0,1.3,758.0,-27.4,145377,45000,Insurance: Property and Casualty (Stock),Financials,U.S.,Boston,Massachusetts,no,,no,yes,27,278.0,,David H. Long,https://www.libertymutual.com,,
American International Group,263,-32.0,43736.0,-12.1,-5944.0,-277.5,586481,45000,Insurance: Property and Casualty (Stock),Financials,U.S.,New York,New York City,no,,no,no,26,231.0,,Peter S. Zaffino,https://www.aig.com,AIG,40813
GlaxoSmithKline,264,18.0,43731.8,1.5,7373.1,24.4,109949.2,94066,Pharmaceuticals,Health Care,Britain,Brentford,,no,,yes,yes,27,282.0,,Emma N. Walmsley,https://www.gsk.com,GSK,97637
Groupe BPCE,265,-23.0,43475.7,-9.3,1834.5,-45.9,1769944,98790,Banks: Commercial and Savings,Financials,France,Paris,,no,,no,yes,12,242.0,,Laurent Mignon,https://www.groupebpce.com,,
Saint-Gobain,266,-22.0,43444.9,-8.8,519.6,-67,59508.5,167552,"Building Materials, Glass",Materials,France,Courbevoie,,no,,no,yes,27,244.0,,Pierre-André de Chalendar,https://www.saint-gobain.com,CODYY,36284
Lloyds Banking Group,267,-97.0,43440.7,-32.4,1690.3,-54.7,1191024.7,61576,Banks: Commercial and Savings,Financials,Britain,London,,no,,no,yes,27,170.0,,Charlie Nunn,https://www.lloydsbankinggroup.com,LYG,44189
Swiss Re,268,-35.0,43338.0,-12.1,-878.0,-220.8,182622,13189,Insurance: Property and Casualty (Stock),Financials,Switzerland,Zurich,,no,,no,no,27,233.0,,Christian Mumenthaler,https://www.swissre.com,SSREY,33763
Sberbank,269,-29.0,43263.6,-10.5,10527.2,-19.4,487263.1,285555,Banks: Commercial and Savings,Financials,Russia,Moscow,,no,,no,yes,14,240.0,,Herman O. Gref,https://www.sberbank.ru,SBRCY,86815
Tyson Foods,270,17.0,43185.0,1.8,2061.0,4.1,34456,139000,Food Production,"Food, Beverages & Tobacco",U.S.,Springdale,Arkansas,no,,no,yes,20,287.0,,Donnie D. King,https://www.tysonfoods.com,TSN,32652
Hanwha,271,6.0,43168.9,-0.2,181.2,134.8,175891.6,53801,"Insurance: Life, Health (stock)",Financials,South Korea,Seoul,,no,,no,yes,16,277.0,,Kyeong-Seak Ok/Choon-Soo Keum,https://www.hanwha.com,,1974
Continental,272,-42.0,42982.7,-13.7,-1096.0,,48509,236386,Motor Vehicles & Parts,Motor Vehicles & Parts,Germany,Hanover,,no,,no,no,19,230.0,,Nikolai Setzer,https://www.continental.com,CTTAY,20113
BHP Group,273,-12.0,42931.0,-4.9,7956.0,-4.2,104783,31589,"Mining, Crude-Oil Production",Energy,Australia,Melbourne,,no,,no,yes,27,261.0,,Mike Henry,https://www.bhp.com,BHP,166333
Woolworths Group,274,-14.0,42677.8,-6.3,780.8,-59.4,26503.4,215000,Food & Drug Stores,Food & Drug Stores,Australia,Bella Vista,,no,,no,yes,25,260.0,,Brad Banducci,https://www.woolworthsgroup.com.au,WOLWF,36605
Progressive,275,48.0,42658.1,9.3,5704.6,43.7,64098.3,43326,Insurance: Property and Casualty (Stock),Financials,U.S.,Mayfield Village,Ohio,no,,yes,yes,8,323.0,,Tricia Griffith,https://www.progressive.com,PGR,68235
Sanofi,276,13.0,42580.1,1.1,14031.2,346.8,140160.6,99412,Pharmaceuticals,Health Care,France,Paris,,no,,no,yes,17,289.0,,Paul Hudson,https://www.sanofi.com,SNY,129812
Petronas,277,-91.0,42562.5,-26.7,-5679.5,-171.2,142803.7,48679,Energy,Energy,Malaysia,Kuala Lumpur,,no,,no,no,25,186.0,,Tengku Muhammad Taufik,https://www.petronas.com,,
Bristol-Myers Squibb,278,209.0,42518.0,62.6,-9015.0,-362.1,118481,30250,Pharmaceuticals,Health Care,U.S.,New York,New York City,no,,no,no,18,487.0,,Giovanni Caforio,https://www.bms.com,BMY,141036
Tsingshan Holding Group,279,50.0,42448.1,11.7,1129.3,36.7,13204.5,75102,Metals,Materials,China,Wenzhou,,no,,no,yes,3,329.0,,Sun Jianfen,https://www.tssgroup.com.cn,,
Nationwide,280,-8.0,41929.8,-4.7,-138.4,-116.7,256589.3,25391,Insurance: Property and Casualty (Mutual),Financials,U.S.,Columbus,Ohio,no,,no,no,27,272.0,,Kirt A. Walker,https://www.nationwide.com,,
Pfizer,281,-66.0,41908.0,-19,9616.0,-40.9,154229,78500,Pharmaceuticals,Health Care,U.S.,New York,New York City,no,,no,yes,27,215.0,,Albert Bourla,https://www.pfizer.com,PFE,296303
Shandong Weiqiao Pioneering Group,282,26.0,41878.8,3.6,1236.0,56,37715.8,100395,Textiles,Industrials,China,Shandong,,no,,no,yes,10,308.0,,Zhang Bo,https://www.weiqiaocy.com,,
Caterpillar,283,-79.0,41748.0,-22.4,2998.0,-50.8,78324,97300,Construction and Farm Machinery,Industrials,U.S.,Deerfield,Illinois,no,,no,yes,27,204.0,,D. James Umpleby III,https://www.caterpillar.com,CAT,115810
Sinomach,284,-3.0,41712.0,-3.3,570.9,26.2,54390.5,139453,Industrial Machinery,Industrials,China,Beijing,,no,,no,yes,11,281.0,,Zhang Xiaolun,https://www.sinomach.com.cn,,
TIAA,285,21.0,41619.3,2.9,558.1,-77.3,654252,14953,"Insurance: Life, Health (Mutual)",Financials,U.S.,New York,New York City,no,,yes,yes,24,306.0,,Thasunda Brown Duckett,https://www.tiaa-cref.org,,-
Ingka Group,286,0.0,41580.4,-6.1,1323.0,-35.7,62380.9,166350,Specialty Retailers,Retailing,Netherlands,Leiden,,yes,,no,yes,1,286.0, ,Jesper Brodin,https://www.ingka.com,,
Pertamina,287,0.0,41469.5,-24,1051.1,-58.4,69143.8,34564,Petroleum Refining,Energy,Indonesia,Jakarta,,yes,,yes,yes,8,287.0, ,Nicke Widyawati,https://www.pertamina.com,,
Midea Group,288,19.0,41407.1,2.4,3945.3,12.6,55231.1,149239,"Electronics, Electrical Equip.",Industrials,China,Foshan,,no,,no,yes,6,307.0,,Fang Hongbo,https://www.midea-group.com,,74425
Bunge,289,8.0,41404.0,0.6,1145.0,,23655,23000,Food Production,"Food, Beverages & Tobacco",U.S.,St. Louis,Missouri,no,,no,yes,19,297.0,,Gregory A. Heckman,https://www.bunge.com,BG,10544
Fresenius,290,23.0,41335.8,4.3,1945.0,-7.7,81561.4,277822,Health Care: Medical Facilities,Health Care,Germany,Bad Homburg,,no,,no,yes,12,313.0,,Stephan Sturm,https://www.fresenius.com,FSNUY,22806
Intesa Sanpaolo,291,19.0,41258.3,2.2,3734.0,-20.2,1226999,105615,Banks: Commercial and Savings,Financials,Italy,Turin,,no,,no,yes,23,310.0,,Carlo Messina,https://www.group.intesasanpaolo.com,ISNPY,51438
George Weston,292,38.0,40792.6,8,718.1,293.7,37750.3,220000,Food & Drug Stores,Food & Drug Stores,Canada,"Toronto, Ontario",,no,,no,yes,27,330.0,,Galen G. Weston,https://www.weston.ca,WNGRF,14861
State Power Investment,293,23.0,40322.8,2.3,343.8,91.5,202932.9,123727,Energy,Energy,China,Beijing,,no,,no,yes,10,316.0,,Qian Zhimin,https://www.spic.com.cn,,
Vale,294,39.0,40018.0,6.5,4881.0,,92007,74316,"Mining, Crude-Oil Production",Energy,Brazil,Rio de Janeiro,,no,,no,yes,15,333.0,,Eduardo de Salles Bartolomeo,https://www.vale.com,VALE,116738
ACS,295,-21.0,39967.2,-8.6,654.0,-39.3,45689,150265,Engineering & Construction,Engineering & Construction,Spain,Madrid,,no,,no,yes,17,274.0,,Florentino Pérez Rodríguez,https://www.grupoacs.com,ACSAY,7988
Toronto-Dominion Bank,296,-29.0,39899.5,-10.3,8841.0,0.7,1286834.4,89598,Banks: Commercial and Savings,Financials,Canada,"Toronto, Ontario",,no,,no,yes,22,267.0,,Bharat B. Masrani,https://www.td.com,TD,119384
Maersk Group,297,23.0,39740.0,1.4,2850.0,,56117,83624,Shipping,Transportation,Denmark,Copenhagen,,no,,no,yes,18,320.0,,Soren Skou,https://www.maersk.com,AMKBY,64469
ThyssenKrupp,298,-50.0,39658.8,-16.3,10725.1,,42766.3,103598,Metals,Materials,Germany,Essen,,no,,yes,yes,27,248.0,,Martina Merz,https://www.thyssenkrupp.com,TKAMY,5962
