company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
Ansteel Group,400,1.0,30885.6,-1.9,258.5,,52135.4,119331,Metals,Materials,China,Anshan,,no,,no,yes,8,401.0,,Tan Chengxu,https://www.ansteel.cn,,
Mitsubishi Chemical Holdings,401,-25.0,30729.1,-8,-71.3,-114.3,47805,69607,Chemicals,Chemicals,Japan,Tokyo,,no,,no,no,27,376.0,,Jean-Marc Gilson,https://www.mitsubishichem-hd.co.jp,MTLHY,12407
Siemens Energy,402,0.0,30722.9,,-1797.0,,50433.5,92000,Energy,Energy,Germany,Munich,,yes,,no,no,1,402.0, ,Christrian Bruch,https://www.siemens-energy.com,SMNEY,19676
Shanxi Coking Coal Group,403,82.0,30453.7,16.3,159.9,-24.4,67852.8,212698,"Mining, Crude-Oil Production",Energy,China,Taiyuan,,no,,no,yes,8,485.0,,Zhao Jianze,https://www.sxcc.com.cn,,
JFE Holdings,404,-39.0,30443.7,-11.3,-206.3,,42088.4,64371,Metals,Materials,Japan,Tokyo,,no,,no,no,19,365.0,,Koji Kakigi,https://www.jfe-holdings.co.jp,JFEEF,6862
Haier Smart Home,405,30.0,30395.0,4.6,1286.5,8.3,31181.5,99299,"Electronics, Electrical Equip.",Industrials,China,Qingdao,,no,,no,yes,4,435.0,,Liang Haishan,https://www.haier.net,HSHCY,41993
Mizuho Financial Group,406,-57.0,30357.1,-17.2,4443.2,7.7,2039658.3,54492,Banks: Commercial and Savings,Financials,Japan,Tokyo,,no,,no,yes,21,349.0,,Tatsufumi Sakai,https://www.mizuho-fg.co.jp,MFG,35921
TongLing Nonferrous Metals Group,407,49.0,30301.1,8.9,-25.8,,14266.4,22501,Metals,Materials,China,Tongling,,no,,no,no,3,456.0,,Gong Huadong,https://www.tnmg.com.cn,,
Medipal Holdings,408,9.0,30291.3,1.2,225.7,-35.4,15189.3,14614,Wholesalers: Health Care,Wholesalers,Japan,Tokyo,,no,,no,yes,19,417.0,,Shuichi Watanabe,https://www.medipal.co.jp,MAHLY,4713
Takeda Pharmaceutical,409,5.0,30165.7,-0.3,3546.9,771.7,116747.7,47099,Pharmaceuticals,Health Care,Japan,Tokyo,,no,,no,yes,2,414.0,,Christophe Weber,https://www.takeda.com,TAK,53085
ABB,410,-70.0,30142.0,-18.6,5146.0,257.6,41088,105600,Industrial Machinery,Industrials,Switzerland,Zurich,,no,,no,yes,27,340.0,,Björn Rosengren,https://www.global.abb/group/,ABB,75630
Shougang Group,411,18.0,30053.7,2.7,42.5,6.2,78468.5,97235,Metals,Materials,China,Beijing,,no,,no,yes,10,429.0,,Zhang Gongyan,https://www.shougang.com.cn,,
Suzuki Motor,412,-22.0,29980.8,-6.6,1381.2,11.9,36495.1,68739,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Hamamatsu,,no,,no,yes,27,390.0,,Toshihiro Suzuki,https://www.globalsuzuki.com,SZKMY,20208
Veolia Environnement,413,-1.0,29637.0,-2.6,101.2,-85.5,55516.3,171450,Utilities,Energy,France,Aubervilliers,,no,,no,yes,19,412.0,,Antoine Frérot,https://www.veolia.com,VEOEY,17808
Canon,414,-34.0,29598.9,-10.2,780.4,-32,44813.2,181897,"Computers, Office Equipment",Technology,Japan,Tokyo,,no,,no,yes,27,380.0,,Fujio Mitarai,https://global.canon,CAJ,32258
New China Life Insurance,415,0.0,29544.6,18.6,2071.6,-1.7,153927.4,36309,"Insurance: Life, Health (stock)",Financials,China,Beijing,,yes,,no,yes,3,415.0, ,Li Quan,https://www.newchinalife.com,,17487
Samsung Life Insurance,416,51.0,29273.8,7.3,1073.0,27.9,309657,5273,"Insurance: Life, Health (stock)",Financials,South Korea,Seoul,,no,,no,yes,25,467.0,,Young-Muk Jeon,https://www.samsunglife.com,,13437
Kansai Electric Power,417,11.0,29171.3,-0.4,1028.0,-14,73017.7,31933,Utilities,Energy,Japan,Osaka,,no,,no,yes,27,428.0,,Takashi Morimoto,https://www.kepco.co.jp,KAEPY,8914
Enbridge,418,-87.0,29146.5,-22.8,2507.7,-41.7,125854.7,12100,Pipelines,Energy,Canada,"Calgary, Alberta",,no,,no,yes,8,331.0,,Al Monaco,https://www.enbridge.com,ENB,78357
Medtronic,419,-11.0,28913.0,-5.4,4789.0,3.4,90689,104950,Medical Products and Equipment,Health Care,Ireland,Dublin,,no,,no,yes,5,408.0,,Geoffrey S. Martha,https://www.medtronic.com,MDT,141985
Toshiba,420,-18.0,28812.6,-7.6,1075.2,,31651.3,117300,"Electronics, Electrical Equip.",Technology,Japan,Tokyo,,no,,no,yes,26,402.0,,Satoshi Tsunakawa,https://www.toshiba.co.jp,TOSYY,19419
Wistron,421,31.0,28694.5,1,294.8,34,15270.9,69506,"Computers, Office Equipment",Technology,Taiwan,Taipei,,no,,no,yes,6,452.0,,Simon Lin,https://www.wistron.com,,2922
Philip Morris International,422,-1.0,28694.0,-3.7,8056.0,12.1,44815,71000,Tobacco,"Food, Beverages & Tobacco",U.S.,New York,New York City,no,,no,yes,13,421.0,,Jacek Olczak,https://www.pmi.com,PM,151552
Arrow Electronics,423,18.0,28673.4,-0.8,584.4,,17053.9,19600,Wholesalers: Electronics and Office Equipment,Wholesalers,U.S.,Centennial,Colorado,no,,no,yes,8,441.0,,Michael J. Long,https://www.arrow.com,ARW,8681
Schneider Electric,424,-11.0,28667.4,-5.7,2422.5,-10.3,60556.1,126328,"Electronics, Electrical Equip.",Industrials,France,Rueil-Malmaison,,no,,no,yes,20,413.0,,Jean-Pascal Tricoire,https://www.se.com/ww/en,SBGSY,101996
Weichai Power,425,0.0,28621.8,13.4,1334.4,1.2,41494.3,81600,Industrial Machinery,Industrials,China,Weifang,,yes,,no,yes,1,425.0, ,Tan Xuguang,https://www.weichaipower.com,WEICY,23772
Banco Bradesco,426,-158.0,28539.3,-35.9,3072.9,-42.4,308961.6,80170,Banks: Commercial and Savings,Financials,Brazil,Osasco,,no,,no,yes,25,268.0,,Octavio de Lazari,https://www.bradesco.com.br,BBD,42194
Phoenix Group Holdings,427,-89.0,28493.2,-23.4,1023.4,843.5,457022.3,7653,"Insurance: Life, Health (stock)",Financials,Britain,London,,no,,no,yes,2,338.0,,Andy Briggs,https://www.thephoenixgroup.com,PNXGF,9413
Hailiang Group,428,40.0,28466.7,4.6,117.3,-33,9348.1,20176,Trading,Wholesalers,China,Hangzhou,,no,,no,yes,3,468.0,,Cao Jianguo,https://www.hailiang.com,,
CHS,429,-35.0,28406.4,-11,422.4,-49.1,15993.9,10493,Food Production,"Food, Beverages & Tobacco",U.S.,Inver Grove Heights,Minnesota,no,,no,yes,14,394.0,,Jay D. Debertin,https://www.chsinc.com,,
China General Technology,430,47.0,28379.3,6.9,558.3,14.1,34592.7,52945,Engineering & Construction,Engineering & Construction,China,Beijing,,no,,no,yes,7,477.0,,Lu Yimin,https://www.genertec.com.cn,,
Beijing Jianlong Heavy Industry Group,431,0.0,28361.5,28.9,494.0,-12.4,23685.4,61300,Metals,Materials,China,Beijing,,yes,,no,yes,1,431.0, ,Zhang Zhixiang,https://www.ejianlong.com,,
NEC,432,18.0,28243.3,-0.8,1411.3,53.5,33169.7,114714,Information Technology Services,Technology,Japan,Tokyo,,no,,no,yes,27,450.0,,Takayuki Morita,https://www.nec.com,,14025
Zhejiang Communications Investment Group,433,0.0,28168.2,29.3,706.7,-5.2,91171.4,38466,Transportation and Logistics,Transportation,China,Hangzhou,,yes,,no,yes,1,433.0, ,Yu Zhihong,https://www.cncico.com,,
Bridgestone,434,-47.0,28046.8,-12.8,-218.2,-109.9,40586.4,138036,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Tokyo,,no,,no,no,27,387.0,,Shuichi Ishibashi,https://www.bridgestone.co.jp,BRDCY,32105
China Datang,435,30.0,27928.3,1.7,317.2,-25.7,122078.6,100721,Energy,Energy,China,Beijing,,no,,no,yes,12,465.0,,Zou Lei,https://www.china-cdt.com,,
BT Group,436,-4.0,27863.3,-4.2,1922.8,-12.7,70169.6,99700,Telecommunications,Telecommunications,Britain,London,,no,,no,yes,27,432.0,,Philip Jansen,"https://www,bt.com",BTGOF,24863
Shanghai Pharmaceuticals Holding,437,36.0,27812.9,3,651.6,10.3,22863.7,48136,Wholesalers: Health Care,Health Care,China,Shanghai,,no,,no,yes,2,473.0,,Cho Man,https://www.sphchina.com,SHPMY,7769
LyondellBasell Industries,438,-78.0,27753.0,-20.1,1420.0,-58.1,35403,19200,Chemicals,Chemicals,Netherlands,Rotterdam,,no,,no,yes,14,360.0,,Kenneth Lane,https://www.lyondellbasell.com,LYB,31332
Guangxi Investment Group,439,51.0,27707.9,6.3,41.3,-47.2,91594.9,33005,Diversified Financials,Financials,China,Nanning,,no,,no,yes,2,490.0,,Zhou Lian,https://www.gig.cn,,
Chubu Electric Power,440,14.0,27690.4,-1.8,1388.6,-7.6,51413.6,28238,Utilities,Energy,Japan,Nagoya,,no,,no,yes,27,454.0,,Hayashi Kingo,https://www.chuden.co.jp,,9122
CRH,441,-44.0,27587.0,-12.9,1122.0,-48,44944,77100,"Building Materials, Glass",Materials,Ireland,Dublin,,no,,no,yes,18,397.0,,Albert Manifold,https://www.crh.com,CRH,37871
Sumitomo Electric Industries,442,3.0,27531.7,-3.7,531.5,-20.5,30577.9,286784,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Osaka,,no,,no,yes,27,445.0,,Masayoshi Matsumoto,https://www.global-sei.com,SMTOY,11070
Financière de l&#8217;Odet,443,15.0,27470.1,-1.2,244.0,78.8,68530.8,79207,Entertainment,Media,France,Paris,,no,,no,yes,3,458.0,,Vincent Bolloré,https://www.financiere-odet.com/fr-fr,,8715
Xinjiang Guanghui Industry Investment,444,-1.0,27448.3,-4.4,59.2,-34.1,42635,73963,Trading,Wholesalers,China,Urumqi,,no,,no,yes,5,443.0,,Song Dongsheng,https://www.guanghui.com,,
X5 Retail Group,445,30.0,27359.1,2.1,392.0,30,15872.7,339716,Food & Drug Stores,Food & Drug Stores,Netherlands,Amsterdam,,no,,no,yes,2,475.0,,Igor Shekhterman,https://www.x5.ru,,8554
Jabil,446,0.0,27266.4,7.8,53.9,-81.2,14397.4,240000,Semiconductors and Other Electronic Components,Technology,U.S.,St. Petersburg,Florida,yes,,no,yes,1,446.0, ,Mark T. Mondello,https://www.jabil.com,JBL,8111
Linde,447,-3.0,27250.0,-5,2501.0,9.5,88229,74207,Chemicals,Chemicals,Britain,"Guildford, Surrey",,no,,no,yes,2,444.0,,Stephen F. Angel,https://www.linde.com,LIN,161456
Enterprise Products Partners,448,-64.0,27199.7,-17,3775.6,-17.8,64106.7,7130,Pipelines,Energy,U.S.,Houston,Texas,no,,no,yes,11,384.0,,A. James Teague/W. Randall Fowler,https://www.enterpriseproducts.com,EPD,51395
Mazda Motor,449,-49.0,27187.2,-13.8,-298.6,-367.6,26378.1,49786,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Hiroshima,,no,,no,no,27,400.0,,Akira Marumoto,https://www.mazda.com,MZDAY,5750
CJ Corp.,450,-13.0,27124.7,-6.4,73.5,-68,36824.5,62756,Specialty Retailers,Retailing,South Korea,Seoul,,no,,no,yes,4,437.0,,Kyung-Shik Sohn/Hong-Ki Kim,https://www.cj.net,,2561
China National Coal Group,451,45.0,27104.9,4.9,484.5,57.4,63259.2,131121,"Mining, Crude-Oil Production",Energy,China,Beijing,,no,,no,yes,2,496.0,,Wang Shudong,https://www.chinacoal.com,,
SK Hynix,452,0.0,27041.1,16.8,4030.8,133.3,65482.7,36854,Semiconductors and Other Electronic Components,Technology,South Korea,"Icheon, Gyeonggi-do",,yes,,no,yes,3,452.0, ,Seok-Hee Lee/Jung-Ho Park,https://www.skhynix.com,,75612
Hewlett Packard Enterprise,453,-22.0,26982.0,-7.4,-322.0,-130.7,54015,59400,"Computers, Office Equipment",Technology,U.S.,Houston,Texas,no,,no,no,5,431.0,,Antonio Neri,https://www.hpe.com,HPE,22805
Danone,454,-1.0,26913.8,-4.9,2228.8,3.2,52349.3,101911,Food Consumer Products,"Food, Beverages & Tobacco",France,Paris,,no,,yes,yes,27,453.0,,Antoine de Saint-Affrique,https://www.danone.com,DANOY,45129
Achmea,455,6.0,26843.1,-2.7,731.5,36.2,114615,13921,"Insurance: Life, Health (Mutual)",Financials,Netherlands,Zeist,,no,,yes,yes,8,461.0,,Bianca E.M. Tetteroo,https://www.achmea.nl,,
Longfor Group Holdings,456,0.0,26745.9,22.3,2898.8,9.2,117265.7,35426,Real estate,Financials,China,Beijing,,yes,,no,yes,1,456.0, ,Shao Mingxiao,https://www.longfor.com,LGFRY,34424
United Natural Foods,457,0.0,26742.8,13.9,-274.1,,7587,28300,Wholesalers: Food and Grocery,Wholesalers,U.S.,Providence,Rhode Island,yes,,no,no,1,457.0, ,Sandy Douglas,https://www.unfi.com,UNFI,1781
Centrica,458,-18.0,26701.5,-7.7,52.6,,23401.7,25753,Utilities,Energy,Britain,Windsor,,no,,no,yes,24,440.0,,Chris O&#039;Shea,https://www.centrica.com,CPYYY,3991
Subaru,459,-54.0,26698.0,-13.2,721.7,-48.6,30847.3,36070,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Tokyo,,no,,no,yes,19,405.0,,Tomomi Nakamura,https://www.subaru.co.jp,FUJHY,14479
Guangzhou Municipal Construction Group,460,0.0,26682.4,36.6,126.8,26.8,23703.1,38367,Engineering & Construction,Engineering & Construction,China,Guangzhou,,yes,,no,yes,1,460.0, ,LIang Huqing,https://www.gzmcg.com,,
LG Chem,461,0.0,26644.8,8.5,434.5,61.6,38079.4,40234,Chemicals,Chemicals,South Korea,Seoul,,yes,,no,yes,2,461.0, ,Hak-Cheol Shin,https://www.lgchem.co.kr,,50679
AstraZeneca,462,0.0,26617.0,9.2,3196.0,139.4,66729,76100,Pharmaceuticals,Health Care,Britain,Cambridge,,yes,,no,yes,20,462.0, ,Pascal Soriot,https://www.astrazeneca.com,AZN,180389
Mondelēz International,463,32.0,26581.0,2.8,3555.0,-8.1,67810,79000,Food Consumer Products,"Food, Beverages & Tobacco",U.S.,Chicago,Illinois,no,,no,yes,14,495.0,,Dirk Van de Put,https://www.mondelezinternational.com,MDLZ,95360
Boehringer Ingelheim,464,0.0,26496.8,11.3,3489.0,14.6,45142.3,51944,Pharmaceuticals,Health Care,Germany,Ingelheim,,yes,,no,yes,3,464.0, ,Hubertus von Baumbach,https://www.boehringer-ingelheim.com,,
ViacomCBS,465,-8.0,26186.0,-5.8,2422.0,-26.8,52663,24225,Entertainment,Media,U.S.,New York,New York City,no,,no,yes,13,457.0,,Robert M. Bakish,https://www.viacbs.com,VIAC,26557
Kraft Heinz,466,0.0,26185.0,4.8,356.0,-81.6,99830,38000,Food Consumer Products,"Food, Beverages & Tobacco",U.S.,Chicago,Illinois,yes,,no,yes,6,466.0, ,Miguel Patricio,https://www.kraftheinzcompany.com,KHC,47458
Koç Holding,467,4.0,26179.2,-3.2,1320.9,70.7,84825.5,100641,Energy,Energy,Turkey,Istanbul,,no,,no,yes,20,471.0,,Levent Çakiroglu,https://www.koc.com.tr,KHOLY,5836
Guangzhou Pharmaceutical Holdings,468,0.0,26070.1,9,299.0,6.4,9132.8,34371,Pharmaceuticals,Health Care,China,Guangzhou,,yes,,no,yes,1,468.0, ,Li Chuyuan,https://www.gpc.com.cn,,
Olam International,469,0.0,26067.8,7.6,178.1,-56.9,20206.3,60425,Wholesalers: Food and Grocery,Wholesalers,Singapore,Singapore,,yes,,no,yes,1,469.0, ,Sunny Verghese,https://www.olamgroup.com,OLMIF,3470
China Resources Land,470,0.0,26027.1,21.7,4352.2,3.8,133186.4,48414,Real estate,Financials,China,Hong Kong,,yes,,no,yes,1,470.0, ,Li Xin,https://www.crland.com.hk,CRBJY,28861
Yunnan Provincial Investment Holding Group,471,0.0,25886.9,39.4,278.6,172.9,72723.6,51442,Diversified Financials,Financials,China,Kunming,,yes,,no,yes,1,471.0, ,Lujun Qiu,https://www.cnyig.com/en,,
Bank of Montreal,472,-42.0,25664.6,-12,3788.4,-12.6,711910.2,43360,Banks: Commercial and Savings,Financials,Canada,"Toronto, Ontario",,no,,no,yes,12,430.0,,Darryl White,https://www.bmo.com,BMO,63658
Samsung C&T,473,8.0,25613.3,-3,877.8,-2.6,49987.3,16075,Trading,Wholesalers,South Korea,Seoul,,no,,no,yes,5,481.0,,Jung-Suk Koh/Se-Chul Oh,https://www.samsungcnt.com,,22334
WH Group,474,0.0,25589.0,6.2,828.0,-43.5,18715,107000,Food Consumer Products,"Food, Beverages & Tobacco",China,Hong Kong,,yes,,no,yes,2,474.0, ,Guo Lijun,https://www.wh-group.com,WHGLY,11993
Dollar Tree,475,0.0,25509.3,8,1341.9,62.3,20696,129772,Specialty Retailers,Retailing,U.S.,Chesapeake,Virginia,yes,,no,yes,1,475.0, ,Michael A. Witynski,https://www.dollartree.com,DLTR,23054
Amgen,476,0.0,25424.0,8.8,7264.0,-7.4,62948,24300,Pharmaceuticals,Health Care,U.S.,Thousand Oaks,California,yes,,no,yes,3,476.0, ,Robert A. Bradway,https://www.amgen.com,AMGN,128267
Compass Group,477,-82.0,25413.4,-19.9,169.5,-88,19030.4,548143,Food Services,Business Services,Britain,Chertsey,,no,,no,yes,20,395.0,,Dominic Blakemore,https://www.compass-group.com,CMPGY,40648
Coles Group,478,-71.0,25324.5,-17.2,655.5,-36.1,12640.6,118000,Food & Drug Stores,Food & Drug Stores,Australia,Hawthorn East,,no,,no,yes,2,407.0,,Steven Cain,https://www.colesgroup.com.au,CLEGF,17101
U.S. Bancorp,479,-13.0,25241.0,-7.6,4959.0,-28.3,553905,68108,Banks: Commercial and Savings,Financials,U.S.,Minneapolis,Minnesota,no,,no,yes,16,466.0,,Andrew J. Cecere,https://www.usbank.com,USB,81768
Ericsson,480,0.0,25236.9,5,1898.6,707.5,33098.1,101129,Network and Other Communications Equipment,Technology,Sweden,Stockholm,,yes,,no,yes,25,480.0, ,Börje Ekholm,https://www.ericsson.com,ERIC,38985
Huayang New Material Technology Group,481,18.0,25187.9,-1.2,-172.7,,39670.2,99487,"Mining, Crude-Oil Production",Energy,China,Yangquan,,no,,no,no,9,499.0,,Zhai Hong,https://www.ymjt.com.cn,,
Banco do Brasil,482,-194.0,25149.6,-40.4,2299.6,-44.7,326124.7,91673,Banks: Commercial and Savings,Financials,Brazil,Brasilia,,no,,no,yes,27,288.0,,Fausto de Andrade Ribeiro,https://www.bb.com.br,BDORY,17632
Performance Food Group,483,0.0,25086.3,27.1,-114.1,-168.4,7719.7,20000,Wholesalers: Food and Grocery,Wholesalers,U.S.,Richmond,Virginia,yes,,no,no,1,483.0, ,George L. Holm,https://www.pfgc.com,PFGC,5969
Netflix,484,0.0,24996.1,24,2761.4,47.9,39280.4,9400,Entertainment,Media,U.S.,Los Gatos,California,yes,,no,yes,1,484.0, ,Reed Hastings/Ted Sarandos,https://www.netflix.com,NFLX,176073
Nokia,485,3.0,24899.2,-4.6,-2874.8,-36793.1,44290.5,92039,Network and Other Communications Equipment,Technology,Finland,Espoo,,no,,no,no,23,488.0,,Pekka Lundmark,https://www.nokia.com,NOK,32454
Zijin Mining Group,486,0.0,24855.2,26.2,943.3,52.1,27940.7,36860,Metals,Materials,China,Longyan,,yes,,no,yes,1,486.0, ,Chen Jinghe,https://www.zjky.cn,ZIJMY,39624
BAE Systems,487,0.0,24722.7,5.8,1666.0,-11.5,37633.5,81000,Aerospace & Defense,Aerospace & Defense,Britain,London,,yes,,no,yes,25,487.0, ,Charles Woodburn,https://www.baesystems.com,BAESY,25536
Gree Electric Appliances,488,-52.0,24709.7,-14.9,3213.8,-10.1,42792,83952,"Electronics, Electrical Equip.",Industrials,China,Zhuhai,,no,,yes,yes,3,436.0,,Dong Mingzhu,https://www.gree.com,,46438
Gilead Sciences,489,0.0,24689.0,10,123.0,-97.7,68407,13600,Pharmaceuticals,Health Care,U.S.,Foster City,California,yes,,no,yes,5,489.0, ,Daniel P. O'Day,https://www.gilead.com,GILD,86099
TD Synnex,490,0.0,24675.6,3.9,529.2,5.7,13468.6,277900,Wholesalers: Electronics and Office Equipment,Wholesalers,U.S.,Fremont,California,yes,,no,yes,1,490.0, ,Rich Hume,https://www.tdsynnex.com,SNX,10054
UniCredit Group,491,-22.0,24664.5,-9.2,-3173.4,-184.1,1139915.9,82107,Banks: Commercial and Savings,Financials,Italy,Milan,,no,,no,no,26,469.0,,Andrea Orcel,https://www.unicreditgroup.eu,UNCRY,24964
Holcim,492,-16.0,24653.8,-8.3,1807.9,-20,60235.4,67409,"Building Materials, Glass",Materials,Switzerland,Zug,,no,,no,yes,13,476.0,,Jan Jenisch,https://www.lafargeholcim.com,HCMLY,35544
Mapfre Group,493,-29.0,24641.5,-10.5,599.9,-12,84629,33730,Insurance: Property and Casualty (Stock),Financials,Spain,Madrid,,no,,no,yes,14,464.0,,Antonio Huertas Mejías,https://www.mapfre.com,MPFRY,6334
Alfresa Holdings,494,0.0,24556.3,-1.1,231.1,-37.6,11904.7,12045,Wholesalers: Health Care,Health Care,Japan,Tokyo,,yes,,no,yes,9,494.0, ,Ryuji Arakawa,https://www.alfresa.com,ARHCF,3607
Eli Lilly,495,0.0,24539.8,9.9,6193.7,-25.5,46633.1,35000,Pharmaceuticals,Health Care,U.S.,Indianapolis,Indiana,yes,,no,yes,15,495.0, ,David A. Ricks,https://www.lilly.com,LLY,232509
Truist Financial,496,0.0,24427.0,66.6,4482.0,39,509228,53638,Banks: Commercial and Savings,Financials,U.S.,Charlotte,North Carolina,yes,,no,yes,1,496.0, ,"William Henry Rogers, Jr.",https://www.truist.com,TFC,81621
China Reinsurance (Group),497,0.0,24376.0,18.1,827.6,-5.5,69513.7,63914,Insurance: Property and Casualty (Stock),Financials,China,Beijing,,yes,,no,yes,1,497.0, ,Yuan Linjiang,https://www.chinare.com.cn,,4155
Commonwealth Bank of Australia,498,-82.0,24362.0,-18.7,6457.1,5.4,698585.9,43585,Banks: Commercial and Savings,Financials,Australia,Sydney,,no,,no,yes,17,416.0,,Matt Comyn,https://www.commbank.com.au,CMWAY,130629
Flex,499,0.0,24124.0,-0.4,613.0,599.9,15836,167201,"Electronics, Electrical Equip.",Technology,Singapore,Singapore,,yes,,yes,yes,20,499.0, ,Revathi Advaithi,https://www.flex.com,FLEX,7974
Rite Aid,500,0.0,24043.4,9.6,-90.9,,9335.4,50000,Food & Drug Stores,Food & Drug Stores,U.S.,Camp Hill,Pennsylvania,yes,,no,no,21,500.0, ,Heyward Donigan,https://www.riteaid.com,RAD,824
